"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"Granulosicoccaceae","Granulosicoccus coccoides","none","none","unfilt_all",NA,NA,NA,"b012",28
"Granulosicoccaceae","Granulosicoccus sp. CMS377","none","none","unfilt_all",NA,NA,NA,"b012",65
"Granulosicoccaceae","Granulosicoccus sp. ZS4-22","none","none","unfilt_all",NA,NA,NA,"b012",24
"none","Thiohalobacter thiocyanaticus","none","none","unfilt_all",NA,NA,NA,"b012",18
"Thioprofundaceae","Thioprofundum hispidum","none","none","unfilt_all",NA,NA,NA,"b012",65
"Wenzhouxiangellaceae","Wenzhouxiangella marina","none","none","unfilt_all",NA,NA,NA,"b012",20
"Woeseiaceae","Woeseia oceani","none","none","unfilt_all",NA,NA,NA,"b012",17
"Enterobacteriaceae","Escherichia coli","none","none","unfilt_all",NA,NA,NA,"b012",277
"Coxiellaceae","Aquicella siphonis","none","none","unfilt_all",NA,NA,NA,"b012",61
"Legionellaceae","Legionella beliardensis","none","none","unfilt_all",NA,NA,NA,"b012",72
"Legionellaceae","Legionella fallonii","none","none","unfilt_all",NA,NA,NA,"b012",114
"Legionellaceae","Legionella impletisoli","none","none","unfilt_all",NA,NA,NA,"b012",29
"Legionellaceae","Legionella lytica","none","none","unfilt_all",NA,NA,NA,"b012",18
"Legionellaceae","Legionella sp. legS033","none","none","unfilt_all",NA,NA,NA,"b012",16
"Moraxellaceae","Acinetobacter baumannii","none","none","unfilt_all",NA,NA,NA,"b012",23
"Moraxellaceae","Psychrobacter celer","none","none","unfilt_all",NA,NA,NA,"b012",298
"Moraxellaceae","Psychrobacter nivimaris","none","none","unfilt_all",NA,NA,NA,"b012",199
"Moraxellaceae","Psychrobacter sp. PRwf-1","none","none","unfilt_all",NA,NA,NA,"b012",21
"none","Codakia orbicularis gill symbiont","none","none","unfilt_all",NA,NA,NA,"b012",68
"none","ectosymbiont of Gianthauma karukerense","none","none","unfilt_all",NA,NA,NA,"b012",80
"none","endosymbiont of Ridgeia piscesae","none","none","unfilt_all",NA,NA,NA,"b012",162
"none","endosymbiont of unidentified scaly snail","none","none","unfilt_all",NA,NA,NA,"b012",13
"none","gamma proteobacterium Ivo10 red","none","none","unfilt_all",NA,NA,NA,"b012",15
"none","gamma proteobacterium NEP68","none","none","unfilt_all",NA,NA,NA,"b012",61
"none","gamma proteobacterium SCGC AAA076-F07","none","none","unfilt_all",NA,NA,NA,"b012",127
"none","gamma proteobacterium SCGC AAA076-G04","none","none","unfilt_all",NA,NA,NA,"b012",382
"none","gamma proteobacterium SCGC AAA160-L02","none","none","unfilt_all",NA,NA,NA,"b012",157
"none","gamma proteobacterium SCGC AAA160-L22","none","none","unfilt_all",NA,NA,NA,"b012",23
"none","gamma proteobacterium SCGC AAA160-M14","none","none","unfilt_all",NA,NA,NA,"b012",78
"none","gamma proteobacterium SCGC AAA160-O03","none","none","unfilt_all",NA,NA,NA,"b012",112
"none","gamma proteobacterium SF293","none","none","unfilt_all",NA,NA,NA,"b012",325
"none","gamma proteobacterium SP3","none","none","unfilt_all",NA,NA,NA,"b012",22
"none","Gammaproteobacteria bacterium LSUCC0101","none","none","unfilt_all",NA,NA,NA,"b012",19
"none","Ignatzschineria sp. LA29","none","none","unfilt_all",NA,NA,NA,"b012",20
"none","marine gamma proteobacterium HTCC2089","none","none","unfilt_all",NA,NA,NA,"b012",68
"none","marine gamma proteobacterium HTCC2188","none","none","unfilt_all",NA,NA,NA,"b012",686
"none","sulfur-oxidizing bacterium NDII1.1","none","none","unfilt_all",NA,NA,NA,"b012",21
"none","sulfur-oxidizing bacterium OAII2","none","none","unfilt_all",NA,NA,NA,"b012",17
"none","uncultured Gammaproteobacteria bacterium","none","none","unfilt_all",NA,NA,NA,"b012",27
"Oceanospirillaceae","Marinobacterium marisflavi","none","none","unfilt_all",NA,NA,NA,"b012",17
"Oceanospirillaceae","Marinomonas posidonica","none","none","unfilt_all",NA,NA,NA,"b012",25
"Marinobacteraceae","Marinobacter algicola","none","none","unfilt_all",NA,NA,NA,"b012",17
"Pseudomonadaceae","Pseudomonas mendocina","none","none","unfilt_all",NA,NA,NA,"b012",163
"Pseudomonadaceae","Pseudomonas sp.","none","none","unfilt_all",NA,NA,NA,"b012",31
"Pseudomonadaceae","Pseudomonas stutzeri","none","none","unfilt_all",NA,NA,NA,"b012",577
"Piscirickettsiaceae","Cycloclasticus endosymbiont of Bathymodiolus heckerae","none","none","unfilt_all",NA,NA,NA,"b012",22
"Thiotrichaceae","Cocleimonas flava","none","none","unfilt_all",NA,NA,NA,"b012",20
"Thiotrichaceae","Thiothrix sp. FBR0112","none","none","unfilt_all",NA,NA,NA,"b012",44
"Vibrionaceae","Vibrio sp. EN276","none","none","unfilt_all",NA,NA,NA,"b012",17
"Vibrionaceae","Vibrio sp. FCH-08","none","none","unfilt_all",NA,NA,NA,"b012",22
"Vibrionaceae","Vibrio sp. IMCC25618","none","none","unfilt_all",NA,NA,NA,"b012",25
"Rhodanobacteraceae","Aquimonas sp. D6-32a","none","none","unfilt_all",NA,NA,NA,"b012",176
"Klebsormidiaceae","Interfilum terricola","none","none","unfilt_all",NA,NA,NA,"b012",122
"Orchidaceae","Erycina pusilla","none","none","unfilt_all",NA,NA,NA,"b012",352
"Bathycoccaceae","Ostreococcus tauri","none","none","unfilt_all",NA,NA,NA,"b012",74
"Hominidae","Homo sapiens","none","none","unfilt_all",NA,NA,NA,"b012",845
"Cymatosiraceae","Leyanella arenaria","none","none","unfilt_all",NA,NA,NA,"b012",57
"Rhodothermaceae","Rhodothermus marinus","none","none","unfilt_all",NA,NA,NA,"b012",451
"none","Acidobacteria bacterium enrichment culture clone Y52","none","none","unfilt_all",NA,NA,NA,"b012",43
"none","bacterium","none","none","unfilt_all",NA,NA,NA,"b012",1197
"none","bacterium DG949","none","none","unfilt_all",NA,NA,NA,"b012",61
"none","bacterium EJ10-B11-11","none","none","unfilt_all",NA,NA,NA,"b012",50
"none","bacterium endosymbiont of Osedax mucofloris","none","none","unfilt_all",NA,NA,NA,"b012",73
"none","bacterium enrichment culture","none","none","unfilt_all",NA,NA,NA,"b012",72
"none","bacterium enrichment culture clone 1.14","none","none","unfilt_all",NA,NA,NA,"b012",23
"none","bacterium enrichment culture clone 16(2013)","none","none","unfilt_all",NA,NA,NA,"b012",13
"none","bacterium enrichment culture clone 1d01","none","none","unfilt_all",NA,NA,NA,"b012",20
"none","bacterium enrichment culture clone 25(2013)","none","none","unfilt_all",NA,NA,NA,"b012",50
"none","bacterium enrichment culture clone 33(2013)","none","none","unfilt_all",NA,NA,NA,"b012",15
"none","bacterium enrichment culture clone 49","none","none","unfilt_all",NA,NA,NA,"b012",21
"none","bacterium enrichment culture clone 51","none","none","unfilt_all",NA,NA,NA,"b012",244
"none","bacterium enrichment culture clone 67","none","none","unfilt_all",NA,NA,NA,"b012",50
"none","bacterium enrichment culture clone 7(2013)","none","none","unfilt_all",NA,NA,NA,"b012",33
"none","bacterium enrichment culture clone Anammox_20","none","none","unfilt_all",NA,NA,NA,"b012",52
"none","bacterium enrichment culture clone AOM-SR-B100","none","none","unfilt_all",NA,NA,NA,"b012",35
"none","bacterium enrichment culture clone B213(2011)","none","none","unfilt_all",NA,NA,NA,"b012",696
"none","bacterium enrichment culture clone B55(2011)","none","none","unfilt_all",NA,NA,NA,"b012",13
"none","bacterium enrichment culture clone B6_78","none","none","unfilt_all",NA,NA,NA,"b012",32
"none","bacterium enrichment culture clone EtOH-69","none","none","unfilt_all",NA,NA,NA,"b012",24
"none","bacterium enrichment culture clone PKWE55-10","none","none","unfilt_all",NA,NA,NA,"b012",27
"none","bacterium enrichment culture clone R1492-8","none","none","unfilt_all",NA,NA,NA,"b012",20
"none","bacterium enrichment culture clone SRAO_28","none","none","unfilt_all",NA,NA,NA,"b012",20
"none","bacterium enrichment culture clone SRAO_29","none","none","unfilt_all",NA,NA,NA,"b012",36
"none","bacterium HTCC4091","none","none","unfilt_all",NA,NA,NA,"b012",967
"none","bacterium HTCC4138","none","none","unfilt_all",NA,NA,NA,"b012",1256
"none","bacterium OM241","none","none","unfilt_all",NA,NA,NA,"b012",237
"none","bacterium p14","none","none","unfilt_all",NA,NA,NA,"b012",16
"none","bacterium RSD-1-2","none","none","unfilt_all",NA,NA,NA,"b012",13
"none","bacterium SCGC AAA071-G16","none","none","unfilt_all",NA,NA,NA,"b012",33
"none","bacterium SCGC AAA074-J04","none","none","unfilt_all",NA,NA,NA,"b012",133
"none","bacterium SCGC AAA074-L02","none","none","unfilt_all",NA,NA,NA,"b012",96
"none","bacterium SH5-3","none","none","unfilt_all",NA,NA,NA,"b012",30
"none","bacterium symbiont of Ifremeria nautilei","none","none","unfilt_all",NA,NA,NA,"b012",29
"none","bacterium TG161","none","none","unfilt_all",NA,NA,NA,"b012",30
"none","bacterium WH6-7","none","none","unfilt_all",NA,NA,NA,"b012",17
"none","bacterium WHC3-3","none","none","unfilt_all",NA,NA,NA,"b012",42
"none","bacterium YC-LK-LKJ31","none","none","unfilt_all",NA,NA,NA,"b012",31
"none","bacterium YC-ZSS-LKJ70","none","none","unfilt_all",NA,NA,NA,"b012",447
"none","bacterium YO-29","none","none","unfilt_all",NA,NA,NA,"b012",21
"none","Bacteroidetes bacterium enrichment culture clone LiUU-18-740","none","none","unfilt_all",NA,NA,NA,"b012",119
"none","Bacteroidetes bacterium S10/1","none","none","unfilt_all",NA,NA,NA,"b012",432
"none","Bacteroidetes bacterium S7","none","none","unfilt_all",NA,NA,NA,"b012",95
"none","Bacteroidetes bacterium SCGC AAA024-P05","none","none","unfilt_all",NA,NA,NA,"b012",84
"none","Bacteroidetes bacterium SCGC AAA027-D09","none","none","unfilt_all",NA,NA,NA,"b012",36
"none","Bacteroidetes bacterium SCGC AAA027-D14","none","none","unfilt_all",NA,NA,NA,"b012",167
"none","Bacteroidetes bacterium SCGC AAA027-F10","none","none","unfilt_all",NA,NA,NA,"b012",263
"none","Bacteroidetes bacterium SCGC AAA027-K06","none","none","unfilt_all",NA,NA,NA,"b012",28
"none","Bacteroidetes bacterium SCGC AAA027-M20","none","none","unfilt_all",NA,NA,NA,"b012",69
"none","Bacteroidetes bacterium SCGC AAA041-P17","none","none","unfilt_all",NA,NA,NA,"b012",1609
"none","Bacteroidetes bacterium SCGC AAA160-G10","none","none","unfilt_all",NA,NA,NA,"b012",38
"none","Bacteroidetes bacterium SCGC AAA160-N18","none","none","unfilt_all",NA,NA,NA,"b012",23
"none","Bacteroidetes bacterium UKL13-3","none","none","unfilt_all",NA,NA,NA,"b012",28
"none","candidate division SR1 bacterium Aalborg_AAW-1","none","none","unfilt_all",NA,NA,NA,"b012",263
"none","candidate division TM6 bacterium GW2011_GWF2_37_49","none","none","unfilt_all",NA,NA,NA,"b012",13
"none","candidate division TM7 bacterium enrichment culture clone B11-B-31","none","none","unfilt_all",NA,NA,NA,"b012",366
"none","candidate division TM7 enrichment culture clone hao21","none","none","unfilt_all",NA,NA,NA,"b012",128
"none","endosymbiont of Lucinoma sp.","none","none","unfilt_all",NA,NA,NA,"b012",14
"none","endosymbiont of Oligobrachia haakonmosbiensis","none","none","unfilt_all",NA,NA,NA,"b012",16
"none","eukaryote SCGC AAA071-M11","none","none","unfilt_all",NA,NA,NA,"b012",15
"none","eukaryote SCGC AAA074-A03","none","none","unfilt_all",NA,NA,NA,"b012",33
"none","eukaryote SCGC AAA074-D10","none","none","unfilt_all",NA,NA,NA,"b012",61
"none","eukaryote SCGC AAA074-F18","none","none","unfilt_all",NA,NA,NA,"b012",166
"none","Gram-negative bacterium MM 1","none","none","unfilt_all",NA,NA,NA,"b012",62
"none","iron-reducing bacterium enrichment culture clone HN105","none","none","unfilt_all",NA,NA,NA,"b012",20
"none","Maorithyas hadalis gill thioautotrophic symbiont II","none","none","unfilt_all",NA,NA,NA,"b012",16
"none","marine bacterium enrichment culture clone C01-B1-S5","none","none","unfilt_all",NA,NA,NA,"b012",42
"none","marine bacterium enrichment culture clone E01-C1-S7","none","none","unfilt_all",NA,NA,NA,"b012",63
"none","marine bacterium enrichment culture clone G03-D2-S5","none","none","unfilt_all",NA,NA,NA,"b012",42
"none","marine bacterium enrichment culture clone K21-F11-S5","none","none","unfilt_all",NA,NA,NA,"b012",434
"none","marine sponge bacterium FILTER13B202","none","none","unfilt_all",NA,NA,NA,"b012",27
"none","marine sponge bacterium FILTER4C107","none","none","unfilt_all",NA,NA,NA,"b012",14
"none","marine sponge bacterium FILTEROTU19","none","none","unfilt_all",NA,NA,NA,"b012",334
"none","marine sponge bacterium liquidOTU6","none","none","unfilt_all",NA,NA,NA,"b012",16
"none","metal-contaminated soil clone K20-03","none","none","unfilt_all",NA,NA,NA,"b012",1485
"none","methanogenic prokaryote enrichment culture B19_106","none","none","unfilt_all",NA,NA,NA,"b012",18
"none","mixed culture isolate koll13","none","none","unfilt_all",NA,NA,NA,"b012",17
"none","none","none","none","unfilt_all",NA,NA,NA,"b012",7075
"none","Planctomycetes bacterium SCGC AAA158-E19","none","none","unfilt_all",NA,NA,NA,"b012",44
"none","Planctomycetes bacterium SCGC AAA202-E02","none","none","unfilt_all",NA,NA,NA,"b012",382
"none","Planctomycetes bacterium SCGC AAA300-C03","none","none","unfilt_all",NA,NA,NA,"b012",26
"none","potato plant root bacterium RC-III-8","none","none","unfilt_all",NA,NA,NA,"b012",28
"none","proteobacterium Dex80-5","none","none","unfilt_all",NA,NA,NA,"b012",28
"none","SR1 bacterium canine oral taxon 369","none","none","unfilt_all",NA,NA,NA,"b012",473
"none","SR1 bacterium canine oral taxon 382","none","none","unfilt_all",NA,NA,NA,"b012",223
"none","SR1 bacterium human oral taxon HOT-345","none","none","unfilt_all",NA,NA,NA,"b012",34
"none","uncultured bacterium","none","none","unfilt_all",NA,NA,NA,"b012",11076
"none","uncultured Bacteroidetes bacterium","none","none","unfilt_all",NA,NA,NA,"b012",505
"none","uncultured candidate division SR1 bacterium","none","none","unfilt_all",NA,NA,NA,"b012",275
"none","uncultured Candidatus Saccharimonas sp.","none","none","unfilt_all",NA,NA,NA,"b012",30
"none","uncultured Chloroflexi bacterium","none","none","unfilt_all",NA,NA,NA,"b012",93
"none","uncultured cyanobacterium","none","none","unfilt_all",NA,NA,NA,"b012",336
"none","uncultured marine bacterium","none","none","unfilt_all",NA,NA,NA,"b012",871
"none","uncultured marine organism","none","none","unfilt_all",NA,NA,NA,"b012",351
"none","uncultured Microgenomates group bacterium","none","none","unfilt_all",NA,NA,NA,"b012",427
"none","uncultured organism","none","none","unfilt_all",NA,NA,NA,"b012",212
"none","uncultured prokaryote","none","none","unfilt_all",NA,NA,NA,"b012",1166
"none","unidentified","none","none","unfilt_all",NA,NA,NA,"b012",3025
"none","unidentified bacterium wb1_B09","none","none","unfilt_all",NA,NA,NA,"b012",16
"none","unidentified bacterium wb1_P06","none","none","unfilt_all",NA,NA,NA,"b012",39
"none","unidentified green non-sulfur bacterium OPB34","none","none","unfilt_all",NA,NA,NA,"b012",87
"none","unidentified green non-sulfur bacterium OPB65","none","none","unfilt_all",NA,NA,NA,"b012",164
"none","unidentified marine bacterioplankton","none","none","unfilt_all",NA,NA,NA,"b012",10796
"none","unidentified marine eubacterium","none","none","unfilt_all",NA,NA,NA,"b012",42
"none","unidentified rhodophyte PRD01a010B","none","none","unfilt_all",NA,NA,NA,"b012",37
"none","unidentified sulfate-reducing bacterium","none","none","unfilt_all",NA,NA,NA,"b012",134
"none","Verrucomicrobia bacterium enrichment culture clone Ac-F3","none","none","unfilt_all",NA,NA,NA,"b012",502
"none","Verrucomicrobia bacterium SCGC AAA024-F06","none","none","unfilt_all",NA,NA,NA,"b012",568
"none","Verrucomicrobia bacterium SCGC AAA204-G18","none","none","unfilt_all",NA,NA,NA,"b012",14
"none","Verrucomicrobia bacterium YJF2-48","none","none","unfilt_all",NA,NA,NA,"b012",59
"Pythiaceae","Globisporangium ultimum","none","none","unfilt_all",NA,NA,NA,"b012",13
"Saprolegniaceae","Thraustotheca clavata","none","none","unfilt_all",NA,NA,NA,"b012",22
"Bacteriovoracaceae","Bacteriovorax sp. 16SSK1","none","none","unfilt_all",NA,NA,NA,"b012",13
"Bacteriovoracaceae","Bacteriovorax sp. IP1","none","none","unfilt_all",NA,NA,NA,"b012",15
"none","Spirobacillus cienkowskii","none","none","unfilt_all",NA,NA,NA,"b012",49
"Silvanigrellaceae","Silvanigrella aquatica","none","none","unfilt_all",NA,NA,NA,"b012",632
"Acinetosporaceae","Pylaiella littoralis","none","none","unfilt_all",NA,NA,NA,"b012",351
"Thermoguttaceae","uncultured Thermogutta sp.","none","none","unfilt_all",NA,NA,NA,"b012",25
"Planctomycetaceae","Planctomycetaceae bacterium D2","none","none","unfilt_all",NA,NA,NA,"b012",2360
"Saprospiraceae","Candidatus Aquirestis calciphila","none","none","unfilt_all",NA,NA,NA,"b012",467
"Saprospiraceae","uncultured Saprospiraceae bacterium","none","none","unfilt_all",NA,NA,NA,"b012",19
"none","unidentified eubacterium LD29","none","none","unfilt_all",NA,NA,NA,"b012",1899
"none","humic substances enrichment clone D47","none","none","unfilt_all",NA,NA,NA,"b012",202
"Sphingobacteriaceae","Pedobacter sp. EMB 36","none","none","unfilt_all",NA,NA,NA,"b012",107
"none","Synergistales bacterium canine oral taxon 138","none","none","unfilt_all",NA,NA,NA,"b012",20
"Chlorellaceae","Chlorella sp. UMPCCC 1222","none","none","unfilt_all",NA,NA,NA,"b012",597
"Oocystaceae","Planctonema lauterbornii","none","none","unfilt_all",NA,NA,NA,"b012",49
"none","Picochlorum sp. RCC289","none","none","unfilt_all",NA,NA,NA,"b012",280
"none","Picochlorum sp. RCC945","none","none","unfilt_all",NA,NA,NA,"b012",1629
"Koliellaceae","Raphidonema nivale","none","none","unfilt_all",NA,NA,NA,"b012",386
"Rubritaleaceae","Rubritalea squalenifaciens","none","none","unfilt_all",NA,NA,NA,"b012",17
"Kyphosidae","Kyphosus elegans","Scombridae","Thunnus thynnus","filt_excl_none",NA,NA,NA,"b012",375
"Gobiidae","Gobius niger","Gobiidae","Gobius niger","filt_excl_none",NA,NA,NA,"b012",892
"Gobiidae","Nemateleotris magnifica","Pleuronectidae","Hippoglossus hippoglossus","filt_excl_none",NA,NA,NA,"b012",362
"Gobiidae","Pomatoschistus minutus","Gobiidae","Pomatoschistus minutus","filt_excl_none",NA,NA,NA,"b012",700
"Haemulidae","Plectorhinchus chaetodonoides","Molidae","Mola mola","filt_excl_none",NA,NA,NA,"b012",78
"Haemulidae","Plectorhinchus flavomaculatus","Molidae","Mola mola","filt_excl_none",NA,NA,NA,"b012",287
"Gasterosteidae","Gasterosteus aculeatus","Gasterosteidae","Gasterosteus aculeatus","filt_excl_none",NA,NA,NA,"b012",345
"Pholidae","Pholis crassispina","Anarhichadidae","Anarhichas lupus","filt_excl_none",NA,NA,NA,"b012",670
"Zoarcidae","Bothrocara zestum","Anarhichadidae","Anarhichas lupus","filt_excl_none",NA,NA,NA,"b012",983
"Lethrinidae","Lethrinus atkinsoni","Cyclopteridae","Cyclopterus lumpus","filt_excl_none",NA,NA,NA,"b012",196
"Lethrinidae","Lethrinus nebulosus","Cyclopteridae","Cyclopterus lumpus","filt_excl_none",NA,NA,NA,"b012",379
"Sparidae","Rhabdosargus sarba","Molidae","Mola mola","filt_excl_none",NA,NA,NA,"b012",13
"Carcharhinidae","Carcharhinus albimarginatus","Carcharhinidae","Prionace glauca","filt_excl_none",NA,NA,NA,"b012",376
"Acanthuridae","Acanthurus olivaceus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",132
"Alepocephalidae","Alepocephalus agassizii","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",18
"Platytroctidae","Maulisia mauli","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",120
"Carangidae","Scomberoides commersonnianus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",33
"Kyphosidae","Kyphosus elegans","Scombridae","Thunnus thynnus","unfilt_only_Actinopterygi",NA,NA,NA,"b012",375
"Clupeidae","Sardinella longiceps","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",13
"Gobiidae","Gobius niger","Gobiidae","Gobius niger","unfilt_only_Actinopterygi",NA,NA,NA,"b012",892
"Gobiidae","Nemateleotris magnifica","Pleuronectidae","Hippoglossus hippoglossus","unfilt_only_Actinopterygi",NA,NA,NA,"b012",362
"Gobiidae","Pomatoschistus minutus","Gobiidae","Pomatoschistus minutus","unfilt_only_Actinopterygi",NA,NA,NA,"b012",700
"Labridae","Scarus dimidiatus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",374
"Labridae","Scarus forsteni","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",47
"Labridae","Scarus rubroviolaceus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",111
"Labridae","Scarus schlegeli","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",59
"Haemulidae","Plectorhinchus chaetodonoides","Molidae","Mola mola","unfilt_only_Actinopterygi",NA,NA,NA,"b012",78
"Haemulidae","Plectorhinchus flavomaculatus","Molidae","Mola mola","unfilt_only_Actinopterygi",NA,NA,NA,"b012",287
"Lutjanidae","Lutjanus argentimaculatus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",378
"Lutjanidae","Pristipomoides typus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",16
"Myctophidae","Lampanyctus macdonaldi","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",377
"Monodactylidae","Monodactylus argenteus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",59
"Moronidae","Dicentrarchus labrax","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",15
"Pomacanthidae","Pomacanthus xanthometopon","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",373
"Pomacentridae","Neoglyphidodon oxyodon","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",100
"Gasterosteidae","Gasterosteus aculeatus","Gasterosteidae","Gasterosteus aculeatus","unfilt_only_Actinopterygi",NA,NA,NA,"b012",345
"Liparidae","Psednos groenlandicus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",69
"Pholidae","Pholis crassispina","Anarhichadidae","Anarhichas lupus","unfilt_only_Actinopterygi",NA,NA,NA,"b012",670
"Serranidae","Cephalopholis aurantia","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",22
"Zoarcidae","Bothrocara zestum","Anarhichadidae","Anarhichas lupus","unfilt_only_Actinopterygi",NA,NA,NA,"b012",983
"Pleuronectidae","Reinhardtius hippoglossoides","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",13
"Scombridae","Scomberomorus munroi x Scomberomorus semifasciatus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",14
"Lethrinidae","Lethrinus atkinsoni","Cyclopteridae","Cyclopterus lumpus","unfilt_only_Actinopterygi",NA,NA,NA,"b012",196
"Lethrinidae","Lethrinus microdon","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",14
"Lethrinidae","Lethrinus nebulosus","Cyclopteridae","Cyclopterus lumpus","unfilt_only_Actinopterygi",NA,NA,NA,"b012",379
"Lethrinidae","Lethrinus nebulosus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",379
"Sparidae","Rhabdosargus sarba","Molidae","Mola mola","unfilt_only_Actinopterygi",NA,NA,NA,"b012",13
"Mullidae","Parupeneus indicus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",24
"Hominidae","Homo sapiens","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b012",845
